mean doses per period,2 dose vial,5 dose vial,10 dose vial,20 dose vial
32.23076923,2.95E-15,6.51E-12,2.92E-08,0.000418771
32.30769231,2.72E-15,6.05E-12,2.74E-08,0.000402021
32.38461538,2.51E-15,5.62E-12,2.57E-08,0.00038591
32.46153846,2.32E-15,5.22E-12,2.42E-08,0.000370416
32.53846154,2.14E-15,4.85E-12,2.27E-08,0.000355516
32.61538462,1.98E-15,4.51E-12,2.14E-08,0.000341189
32.69230769,1.82E-15,4.19E-12,2.01E-08,0.000327414
32.76923077,1.68E-15,3.89E-12,1.88E-08,0.000314171
32.84615385,1.55E-15,3.62E-12,1.77E-08,0.000301441
32.92307692,1.43E-15,3.36E-12,1.66E-08,0.000289204
33,1.32E-15,3.12E-12,1.56E-08,0.000277443
33.07692308,1.22E-15,2.90E-12,1.47E-08,0.00026614
33.15384615,1.13E-15,2.69E-12,1.38E-08,0.000255278
33.23076923,1.04E-15,2.50E-12,1.29E-08,0.000244841
33.30769231,9.61E-16,2.33E-12,1.22E-08,0.000234813
33.38461538,8.87E-16,2.16E-12,1.14E-08,0.000225179
33.46153846,8.19E-16,2.01E-12,1.07E-08,0.000215924
33.53846154,7.56E-16,1.86E-12,1.01E-08,0.000207034
33.61538462,6.98E-16,1.73E-12,9.45E-09,0.000198495
33.69230769,6.44E-16,1.61E-12,8.88E-09,0.000190294
33.76923077,5.95E-16,1.49E-12,8.34E-09,0.000182419
33.84615385,5.49E-16,1.39E-12,7.83E-09,0.000174857
33.92307692,5.07E-16,1.29E-12,7.35E-09,0.000167596
